idSatker,idKldi,kldi,historical_display_name,historical_name_variant_count,historical_name_variants,current_name_authority,current_name_status,historical_governed_package_count,historical_governed_total_pagu,historical_demand_families,historical_semantic_states,first_observed_package_id,last_observed_package_id,taxonomy_version,taxonomy_sha256,printing_resolver_version,historical_only,current_opportunity_authority,contact_authority,outreach_authority,email_send_authority
76540,D216,Kota Banjarbaru,DINAS KESEHATAN,1,"[{""name"":""DINAS KESEHATAN"",""count"":3,""first_observed_package_id"":63850187,""last_observed_package_id"":64322574}]",False,NOT_CURRENTLY_VERIFIED,3,9000000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",63850187,64322574,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76551,D216,Kota Banjarbaru,DINAS PENDIDIKAN,1,"[{""name"":""DINAS PENDIDIKAN"",""count"":2,""first_observed_package_id"":65877237,""last_observed_package_id"":65975575}]",False,NOT_CURRENTLY_VERIFIED,2,48000000.0,"[""CCTV"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65877237,65975575,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76654,D183,Kab. Lumajang,DINAS PEKERJAAN UMUM DAN TATA RUANG,1,"[{""name"":""DINAS PEKERJAAN UMUM DAN TATA RUANG"",""count"":3,""first_observed_package_id"":66079296,""last_observed_package_id"":66698704}]",False,NOT_CURRENTLY_VERIFIED,3,133000000.0,"[""CCTV"",""PRINTING_HARDWARE"",""SERVER""]","[""MAINTENANCE_CALIBRATION""]",66079296,66698704,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76694,D18,Kab. Aceh Tamiang,BADAN PENANGGULANGAN BENCANA DAERAH,1,"[{""name"":""BADAN PENANGGULANGAN BENCANA DAERAH"",""count"":2,""first_observed_package_id"":66748762,""last_observed_package_id"":66748764}]",False,NOT_CURRENTLY_VERIFIED,2,85000000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""PRODUCT_ONLY_UNCONTRADICTED""]",66748762,66748764,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76759,D438,Kab. Konawe Selatan,DINAS PERIKANAN,1,"[{""name"":""DINAS PERIKANAN"",""count"":1,""first_observed_package_id"":64642869,""last_observed_package_id"":64642869}]",False,NOT_CURRENTLY_VERIFIED,1,50000000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""PURCHASE_EXPLICIT""]",64642869,64642869,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76782,D293,Kota Ternate,Dinas Kesehatan,1,"[{""name"":""Dinas Kesehatan"",""count"":6,""first_observed_package_id"":66233656,""last_observed_package_id"":66270654}]",False,NOT_CURRENTLY_VERIFIED,6,160801740.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""PRODUCT_ONLY_UNCONTRADICTED""]",66233656,66270654,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76931,D158,Provinsi Jawa Timur,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN,1,"[{""name"":""BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN"",""count"":4,""first_observed_package_id"":63863901,""last_observed_package_id"":63869117}]",False,NOT_CURRENTLY_VERIFIED,4,42476000.0,"[""COMPUTING"",""DISPLAY"",""PRINTING_CONSUMABLES"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PARTS_CONSUMABLE"",""PURCHASE_EXPLICIT""]",63863901,63869117,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76940,D321,Kab. Manggarai Barat,Sekretariat DPRD,1,"[{""name"":""Sekretariat DPRD"",""count"":1,""first_observed_package_id"":66537042,""last_observed_package_id"":66537042}]",False,NOT_CURRENTLY_VERIFIED,1,30000000.0,"[""CAMERA""]","[""PURCHASE_EXPLICIT""]",66537042,66537042,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76959,D185,Kab. Pasuruan,DINAS PERHUBUNGAN,1,"[{""name"":""DINAS PERHUBUNGAN"",""count"":14,""first_observed_package_id"":63404327,""last_observed_package_id"":64758906}]",False,NOT_CURRENTLY_VERIFIED,14,457514800.0,"[""CAMERA"",""CCTV"",""DRONE"",""PRINTING_CONSUMABLES"",""PRINTING_HARDWARE"",""SERVER""]","[""CONSULTING_OR_LABOR_SERVICE"",""INSTALLATION_CONTEXT"",""MAINTENANCE_CALIBRATION"",""PARTS_CONSUMABLE"",""PRODUCT_ONLY_UNCONTRADICTED"",""PURCHASE_EXPLICIT""]",63404327,64758906,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
76982,D158,Provinsi Jawa Timur,DINAS TENAGA KERJA DAN TRANSMIGRASI,1,"[{""name"":""DINAS TENAGA KERJA DAN TRANSMIGRASI"",""count"":2,""first_observed_package_id"":63254439,""last_observed_package_id"":63596291}]",False,NOT_CURRENTLY_VERIFIED,2,24915000.0,"[""DISPLAY"",""NETWORKING""]","[""MEDIA_SERVICE"",""PRODUCT_ONLY_UNCONTRADICTED""]",63254439,63596291,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
