source_url,source_type,keyword,matched_keywords,package_code,package_name,institution_name,stage_or_status,hps_or_pagu,fiscal_year,collected_at,evidence_level,raw_file_path
https://spse.inaproc.id/nasional/dt/pl?tahun=2026,nontender,alat,alat,10938027000,Pengadaan Peralatan Pendidikan Fakultas Teknik,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",Upload Dokumen Penawaran,"176,5 Jt",2026,2026-07-05T20:55:34+00:00,SPSE_TARGETED_FOUND,data\evidence\spse\nasional\raw\targeted\2026-07-05T205534Z0000_nontender_alat.json
https://spse.inaproc.id/nasional/dt/pl?tahun=2026,nontender,alat,alat,10937740000,Pengadaan Peralatan Perkantoran - Keuangan Uncen,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",Upload Dokumen Penawaran,"68,3 Jt",2026,2026-07-05T20:55:34+00:00,SPSE_TARGETED_FOUND,data\evidence\spse\nasional\raw\targeted\2026-07-05T205534Z0000_nontender_alat.json
