institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
UPT PELABUHAN PENGUMPAN REGIONAL BANYUWANGI,UPT PELABUHAN PENGUMPAN REGIONAL BANYUWANGI — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PELABUHAN PENGUMPAN REGIONAL BANYUWANGI,"Jawa Timur, Banyuwangi (Kab.)",PROVINCE,3,3375000,May 2026,OFFICE_FURNITURE,,,,,,,,
UPT PELABUHAN PERIKANAN PANTAI PONDOKDADAP,UPT PELABUHAN PERIKANAN PANTAI PONDOKDADAP — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PELABUHAN PERIKANAN PANTAI PONDOKDADAP,"Jawa Timur, Malang (Kab.)",PROVINCE,1,88500000,May 2026,IT_HARDWARE,,,,,,,,
UPT PELAYANAN PENDAPATAN DAERAH WILAYAH MEMPAWAH,UPT PELAYANAN PENDAPATAN DAERAH WILAYAH MEMPAWAH — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PELAYANAN PENDAPATAN DAERAH WILAYAH MEMPAWAH,"Kalimantan Barat, Mempawah (Kab.)",PROVINCE,1,650000,May 2026,IT_HARDWARE,,,,,,,,
UPT PELAYANAN SOSIAL TRESNA WERDHA JOMBANG,UPT PELAYANAN SOSIAL TRESNA WERDHA JOMBANG — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PELAYANAN SOSIAL TRESNA WERDHA JOMBANG,"Jawa Timur, Jombang (Kab.)",PROVINCE,1,1292000,June 2026,IT_HARDWARE,,,,,,,,
UPT PEMBIBITAN TERNAK DAN KESEHATAN HEWAN MADURA,UPT PEMBIBITAN TERNAK DAN KESEHATAN HEWAN MADURA — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PEMBIBITAN TERNAK DAN KESEHATAN HEWAN MADURA,"Jawa Timur, Pamekasan (Kab.)",PROVINCE,2,94415000,June 2026; May 2026,CCTV,,,,,,,,
UPT PENGAWASAN DAN SERTIFIKASI BENIH PERKEBUNAN,UPT PENGAWASAN DAN SERTIFIKASI BENIH PERKEBUNAN — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PENGAWASAN DAN SERTIFIKASI BENIH PERKEBUNAN,"Kalimantan Barat, Pontianak (Kota)",PROVINCE,2,13828000,June 2026,DESKTOP; IT_HARDWARE,,,,,,,,
UPT PENGAWASAN DAN SERTIFIKASI BENIH,UPT PENGAWASAN DAN SERTIFIKASI BENIH — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PENGAWASAN DAN SERTIFIKASI BENIH,"Kalimantan Barat, Pontianak (Kota)",PROVINCE,3,12404000,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
UPT PENGELOLA KAWASAN KONSERVASI DI PERAIRAN,UPT PENGELOLA KAWASAN KONSERVASI DI PERAIRAN — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PENGELOLA KAWASAN KONSERVASI DI PERAIRAN,"Kalimantan Barat, Kubu Raya (Kab.) | Kalimantan Barat, Pontianak (Kota)",PROVINCE,3,160532000,June 2026,CAMERA_VIDEO; IT_HARDWARE,,,,,,,,
UPT PENGELOLAAN DAN PELAYANAN PERUMAHAN PERMUKIMAN,UPT PENGELOLAAN DAN PELAYANAN PERUMAHAN PERMUKIMAN — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENGELOLAAN DAN PELAYANAN PERUMAHAN PERMUKIMAN,"Jawa Timur, Surabaya (Kota)",PROVINCE,1,8047800,May 2026,IT_HARDWARE,,,,,,,,
UPT PENGELOLAAN JALAN DAN JEMBATAN PACITAN,UPT PENGELOLAAN JALAN DAN JEMBATAN PACITAN — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENGELOLAAN JALAN DAN JEMBATAN PACITAN,"Jawa Timur, Pacitan (Kab.)",PROVINCE,2,34823480,May 2026,CCTV,,,,,,,,
UPT PENGEMBANGAN TEKNIS DAN KETERAMPILAN KEJURUAN,UPT PENGEMBANGAN TEKNIS DAN KETERAMPILAN KEJURUAN — Provinsi Jawa Timur,Provinsi Jawa Timur,UPT PENGEMBANGAN TEKNIS DAN KETERAMPILAN KEJURUAN,"Jawa Timur, Surabaya (Kota)",PROVINCE,1,29200000,June 2026,IT_HARDWARE; NETWORKING,,,,,,,,
UPT PENGUJIAN DAN SERTIFIKASI MUTU BARANG,UPT PENGUJIAN DAN SERTIFIKASI MUTU BARANG — Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,UPT PENGUJIAN DAN SERTIFIKASI MUTU BARANG,"Kalimantan Barat, Pontianak (Kota)",PROVINCE,1,724000,May 2026,IT_HARDWARE,,,,,,,,
