institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,"Jawa Timur, Surabaya (Kota)",NATIONAL,1,9660000,May 2026,PRINTER,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,"Jambi, Jambi (Kota)",NATIONAL,5,88466000,May 2026,LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,"Sumatera Selatan, Palembang (Kota)",NATIONAL,1,7577000,May 2026,PRINTER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Bali,01 Perumahan dan Kawasan Permukiman Provinsi Bali — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Bali,"Bali, Denpasar (Kota)",PROVINCE,7,69045000,June 2026; May 2026,CAMERA_VIDEO; DESKTOP; LAPTOP; PRINTER; SCANNER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,"Nusa Tenggara Barat, Lombok Barat (Kab.)",PROVINCE,2,28710000,May 2026,PRINTER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,"Sumatera Selatan, Palembang (Kota)",PROVINCE,1,2327000,May 2026,OFFICE_FURNITURE,,,,,,,,
03 BALAI HARTA PENINGGALAN SEMARANG,03 BALAI HARTA PENINGGALAN SEMARANG — Kementerian Hukum,Kementerian Hukum,03 BALAI HARTA PENINGGALAN SEMARANG,"Jawa Tengah, Semarang (Kota)",NATIONAL,1,2480000,May 2026,OFFICE_FURNITURE,,,,,,,,
03 BALAI PELATIHAN HUKUM JAWA TENGAH,03 BALAI PELATIHAN HUKUM JAWA TENGAH — Kementerian Hukum,Kementerian Hukum,03 BALAI PELATIHAN HUKUM JAWA TENGAH,"Jawa Tengah, Semarang (Kota)",NATIONAL,1,48000000,May 2026,LAPTOP,,,,,,,,
05 KANWIL JAWA TIMUR AHU,05 KANWIL JAWA TIMUR AHU — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR AHU,"Jawa Timur, Surabaya (Kota)",NATIONAL,1,34800000,May 2026,IT_HARDWARE,,,,,,,,
05 KANWIL JAWA TIMUR SETJEN,05 KANWIL JAWA TIMUR SETJEN — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR SETJEN,"Jawa Timur, Surabaya (Kota)",NATIONAL,4,207649000,June 2026; May 2026,CCTV; IT_HARDWARE; LAPTOP,,,,,,,,
05 Perumahan dan Kawasan Permukiman Provinsi Sulawesi Utara,05 Perumahan dan Kawasan Permukiman Provinsi Sulawesi Utara — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,05 Perumahan dan Kawasan Permukiman Provinsi Sulawesi Utara,"Sulawesi Utara, Manado (Kota)",PROVINCE,1,14945000,June 2026,IT_HARDWARE,,,,,,,,
07 KANWIL SUMATERA UTARA SETJEN,07 KANWIL SUMATERA UTARA SETJEN — Kementerian Hukum,Kementerian Hukum,07 KANWIL SUMATERA UTARA SETJEN,"Sumatera Utara, Medan (Kota)",NATIONAL,1,31461850,May 2026,IT_HARDWARE,,,,,,,,
19 KANWIL SULAWESI SELATAN BSK,19 KANWIL SULAWESI SELATAN BSK — Kementerian Hukum,Kementerian Hukum,19 KANWIL SULAWESI SELATAN BSK,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,1500000,May 2026,IT_HARDWARE,,,,,,,,
21 KANWIL MALUKU SETJEN,21 KANWIL MALUKU SETJEN — Kementerian Hukum,Kementerian Hukum,21 KANWIL MALUKU SETJEN,"Maluku, Ambon (Kota)",NATIONAL,1,65653000,May 2026,AUDIO; LAPTOP; OFFICE_FURNITURE,,,,,,,,
691292/PELAKSANAAN PRASARANA STRATEGIS JAKARTA METROPOLITAN,691292/PELAKSANAAN PRASARANA STRATEGIS JAKARTA METROPOLITAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,691292/PELAKSANAAN PRASARANA STRATEGIS JAKARTA METROPOLITAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,19,38167495000,May 2026,NETWORKING,,,,,,,,
691293/PELAKSANAAN PRASARANA STRATEGIS BANTEN,691293/PELAKSANAAN PRASARANA STRATEGIS BANTEN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,691293/PELAKSANAAN PRASARANA STRATEGIS BANTEN,"Banten, Tangerang (Kab.)",NATIONAL,2,3870000000,May 2026,OFFICE_FURNITURE,,,,,,,,
691294/PELAKSANAAN PRASARANA STRATEGIS JAWA BARAT,691294/PELAKSANAAN PRASARANA STRATEGIS JAWA BARAT — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,691294/PELAKSANAAN PRASARANA STRATEGIS JAWA BARAT,"Jawa Barat, Bogor (Kota)",NATIONAL,2,780000000,May 2026,CCTV; IT_HARDWARE,,,,,,,,
691616 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH III,691616 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH III — Kementerian Kehutanan,Kementerian Kehutanan,691616 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH III,"DI Yogyakarta, Sleman (Kab.)",NATIONAL,1,4900000,May 2026,IT_HARDWARE,,,,,,,,
691625 BALAI PERHUTANAN SOSIAL MANOKWARI,691625 BALAI PERHUTANAN SOSIAL MANOKWARI — Kementerian Kehutanan,Kementerian Kehutanan,691625 BALAI PERHUTANAN SOSIAL MANOKWARI,"Papua Barat, Manokwari (Kab.)",NATIONAL,5,9600000,June 2026; May 2026,AUDIO; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
693520 SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN,693520 SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN — Kementerian Kehutanan,Kementerian Kehutanan,693520 SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,8,604650000,June 2026; May 2026,CAMERA_VIDEO; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
693521 KANTOR PUSAT SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN,693521 KANTOR PUSAT SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN — Kementerian Kehutanan,Kementerian Kehutanan,693521 KANTOR PUSAT SEKRETARIAT JENDERAL KEMENTERIAN KEHUTANAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,3,776000000,June 2026; May 2026,AUDIO; LAPTOP; NETWORKING,,,,,,,,
693522 INSPEKTORAT JENDERAL KEMENTERIAN KEHUTANAN,693522 INSPEKTORAT JENDERAL KEMENTERIAN KEHUTANAN — Kementerian Kehutanan,Kementerian Kehutanan,693522 INSPEKTORAT JENDERAL KEMENTERIAN KEHUTANAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,2,17849000,May 2026,AUDIO,,,,,,,,
693523 BALAI PENGELOLAAN HUTAN LESTARI WILAYAH IV,693523 BALAI PENGELOLAAN HUTAN LESTARI WILAYAH IV — Kementerian Kehutanan,Kementerian Kehutanan,693523 BALAI PENGELOLAAN HUTAN LESTARI WILAYAH IV,"Jambi, Jambi (Kota)",NATIONAL,1,2664000,June 2026,PRINTER,,,,,,,,
693531 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN HUTAN LESTARI,693531 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN HUTAN LESTARI — Kementerian Kehutanan,Kementerian Kehutanan,693531 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN HUTAN LESTARI,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,9,203770000,June 2026; May 2026,CAMERA_VIDEO; IT_HARDWARE; LAPTOP,,,,,,,,
693545 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BARITO,693545 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BARITO — Kementerian Kehutanan,Kementerian Kehutanan,693545 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BARITO,"Kalimantan Selatan, Banjar Baru (Kota)",NATIONAL,3,85561000,June 2026,IT_HARDWARE; LAPTOP,,,,,,,,
693546 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI JENEBERANG SADDANG,693546 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI JENEBERANG SADDANG — Kementerian Kehutanan,Kementerian Kehutanan,693546 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI JENEBERANG SADDANG,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,327500000,June 2026,IT_HARDWARE,,,,,,,,
693559 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BONE LIMBOTO,693559 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BONE LIMBOTO — Kementerian Kehutanan,Kementerian Kehutanan,693559 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI BONE LIMBOTO,"Gorontalo, Gorontalo (Kab.)",NATIONAL,2,380000000,June 2026; May 2026,LAPTOP; PRINTER,,,,,,,,
693563 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI UNDA ANYAR,693563 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI UNDA ANYAR — Kementerian Kehutanan,Kementerian Kehutanan,693563 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI UNDA ANYAR,"Bali, Badung (Kab.)",NATIONAL,2,1800000,May 2026,IT_HARDWARE,,,,,,,,
693564 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI DODOKAN MOYOSARI,693564 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI DODOKAN MOYOSARI — Kementerian Kehutanan,Kementerian Kehutanan,693564 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI DODOKAN MOYOSARI,"Nusa Tenggara Barat, Mataram (Kota)",NATIONAL,8,20810000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
693568 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH II,693568 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH II — Kementerian Kehutanan,Kementerian Kehutanan,693568 BALAI PERBENIHAN TANAMAN HUTAN WILAYAH II,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,2655000,June 2026,IT_HARDWARE,,,,,,,,
693573 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI KARAMA,693573 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI KARAMA — Kementerian Kehutanan,Kementerian Kehutanan,693573 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI KARAMA,"Sulawesi Barat, Mamuju (Kab.)",NATIONAL,2,85500000,May 2026,IT_HARDWARE; PRINTER,,,,,,,,
693574 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI AKE MALAMO,693574 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI AKE MALAMO — Kementerian Kehutanan,Kementerian Kehutanan,693574 BALAI PENGELOLAAN DAERAH ALIRAN SUNGAI AKE MALAMO,"Maluku Utara, Ternate (Kota)",NATIONAL,1,230000,May 2026,IT_HARDWARE,,,,,,,,
693576 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN DAERAH ALIRAN SUNGAI DAN REHABILITASI HUTAN,693576 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN DAERAH ALIRAN SUNGAI DAN REHABILITASI HUTAN — Kementerian Kehutanan,Kementerian Kehutanan,693576 KANTOR PUSAT DIREKTORAT JENDERAL PENGELOLAAN DAERAH ALIRAN SUNGAI DAN REHABILITASI HUTAN,"Papua Barat Daya, Sorong (Kota)",NATIONAL,3,926920000,June 2026,CAMERA_VIDEO; NETWORKING,,,,,,,,
693604 BALAI TAMAN NASIONAL KOMODO,693604 BALAI TAMAN NASIONAL KOMODO — Kementerian Kehutanan,Kementerian Kehutanan,693604 BALAI TAMAN NASIONAL KOMODO,"Nusa Tenggara Timur, Manggarai Barat (Kab.)",NATIONAL,2,334078000,June 2026,AUDIO; CAMERA_VIDEO,,,,,,,,
693612 KANTOR PUSAT DIREKTORAT JENDERAL KONSERVASI SUMBER DAYA ALAM DAN EKOSISTEM,693612 KANTOR PUSAT DIREKTORAT JENDERAL KONSERVASI SUMBER DAYA ALAM DAN EKOSISTEM — Kementerian Kehutanan,Kementerian Kehutanan,693612 KANTOR PUSAT DIREKTORAT JENDERAL KONSERVASI SUMBER DAYA ALAM DAN EKOSISTEM,"Jawa Barat, Bogor (Kota)",NATIONAL,2,81002000,May 2026,LAPTOP; PRINTER,,,,,,,,
693626 BALAI TAMAN NASIONAL AKETAJAWE LOLOBATA,693626 BALAI TAMAN NASIONAL AKETAJAWE LOLOBATA — Kementerian Kehutanan,Kementerian Kehutanan,693626 BALAI TAMAN NASIONAL AKETAJAWE LOLOBATA,"Maluku Utara, Tidore Kepulauan (Kota)",NATIONAL,1,52000000,May 2026,LAPTOP; SCANNER,,,,,,,,
693656 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XXII,693656 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XXII — Kementerian Kehutanan,Kementerian Kehutanan,693656 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XXII,"Sulawesi Tenggara, Kendari (Kota)",NATIONAL,1,16390000,May 2026,NETWORKING,,,,,,,,
693658 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH II,693658 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH II — Kementerian Kehutanan,Kementerian Kehutanan,693658 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH II,"Sumatera Selatan, Palembang (Kota)",NATIONAL,2,1732300000,May 2026,OFFICE_FURNITURE; PRINTER,,,,,,,,
693673 KANTOR PUSAT DIREKTORAT JENDERAL PLANOLOGI KEHUTANAN,693673 KANTOR PUSAT DIREKTORAT JENDERAL PLANOLOGI KEHUTANAN — Kementerian Kehutanan,Kementerian Kehutanan,693673 KANTOR PUSAT DIREKTORAT JENDERAL PLANOLOGI KEHUTANAN,"Jawa Barat, Bogor (Kota)",NATIONAL,5,99000000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
693674 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XI,693674 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XI — Kementerian Kehutanan,Kementerian Kehutanan,693674 BALAI PEMANTAPAN KAWASAN HUTAN WILAYAH XI,"DI Yogyakarta, Yogyakarta (Kota)",NATIONAL,2,60150000,May 2026,OFFICE_FURNITURE,,,,,,,,
693698 PUSAT PENDIDIKAN DAN PELATIHAN SUMBER DAYA MANUSIA KEHUTANAN,693698 PUSAT PENDIDIKAN DAN PELATIHAN SUMBER DAYA MANUSIA KEHUTANAN — Kementerian Kehutanan,Kementerian Kehutanan,693698 PUSAT PENDIDIKAN DAN PELATIHAN SUMBER DAYA MANUSIA KEHUTANAN,"Jawa Barat, Bogor (Kota)",NATIONAL,1,24000000,June 2026,IT_HARDWARE,,,,,,,,
693704 SEKOLAH MENENGAH KEJURUAN KEHUTANAN NEGERI SAMARINDA,693704 SEKOLAH MENENGAH KEJURUAN KEHUTANAN NEGERI SAMARINDA — Kementerian Kehutanan,Kementerian Kehutanan,693704 SEKOLAH MENENGAH KEJURUAN KEHUTANAN NEGERI SAMARINDA,"Kalimantan Timur, Samarinda (Kota)",NATIONAL,1,203592000,May 2026,OFFICE_FURNITURE,,,,,,,,
693708 BALAI PERHUTANAN SOSIAL DENPASAR,693708 BALAI PERHUTANAN SOSIAL DENPASAR — Kementerian Kehutanan,Kementerian Kehutanan,693708 BALAI PERHUTANAN SOSIAL DENPASAR,"Nusa Tenggara Barat, Mataram (Kota)",NATIONAL,1,4887000,May 2026,OFFICE_FURNITURE,,,,,,,,
693718 BALAI PENEGAKAN HUKUM KEHUTANAN WILAYAH MALUKU PAPUA,693718 BALAI PENEGAKAN HUKUM KEHUTANAN WILAYAH MALUKU PAPUA — Kementerian Kehutanan,Kementerian Kehutanan,693718 BALAI PENEGAKAN HUKUM KEHUTANAN WILAYAH MALUKU PAPUA,"Papua Barat, Manokwari (Kab.)",NATIONAL,3,352000000,June 2026; May 2026,LAPTOP,,,,,,,,
693723 BALAI PENGENDALIAN KEBAKARAN HUTAN WILAYAH SULAWESI,693723 BALAI PENGENDALIAN KEBAKARAN HUTAN WILAYAH SULAWESI — Kementerian Kehutanan,Kementerian Kehutanan,693723 BALAI PENGENDALIAN KEBAKARAN HUTAN WILAYAH SULAWESI,"Sulawesi Selatan, Makassar (Kota)",NATIONAL,1,6000000,June 2026,PRINTER,,,,,,,,
693789/DIREKTORAT PEMBANGUNAN JEMBATAN,693789/DIREKTORAT PEMBANGUNAN JEMBATAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693789/DIREKTORAT PEMBANGUNAN JEMBATAN,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,1,145500000,May 2026,CAMERA_VIDEO,,,,,,,,
693800/DIREKTORAT BINA TEKNIK JALAN DAN JEMBATAN,693800/DIREKTORAT BINA TEKNIK JALAN DAN JEMBATAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693800/DIREKTORAT BINA TEKNIK JALAN DAN JEMBATAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,1,268500000,June 2026,NETWORKING,,,,,,,,
693848/PERENCANAAN DAN PENGAWASAN JALAN NASIONAL PROVINSI NUSA TENGGARA BARAT,693848/PERENCANAAN DAN PENGAWASAN JALAN NASIONAL PROVINSI NUSA TENGGARA BARAT — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693848/PERENCANAAN DAN PENGAWASAN JALAN NASIONAL PROVINSI NUSA TENGGARA BARAT,"Nusa Tenggara Barat, Lombok Barat (Kab.)",PROVINCE,1,36455000,May 2026,LAPTOP,,,,,,,,
693960/BALAI PELAKSANAAN JALAN NASIONAL SULAWESI TENGGARA,693960/BALAI PELAKSANAAN JALAN NASIONAL SULAWESI TENGGARA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693960/BALAI PELAKSANAAN JALAN NASIONAL SULAWESI TENGGARA,"Sulawesi Tenggara, Kendari (Kota)",NATIONAL,1,23522000,May 2026,LAPTOP,,,,,,,,
693974/PELAKSANAAN CIPTA KARYA WILAYAH III PROVINSI SUMATERA UTARA,693974/PELAKSANAAN CIPTA KARYA WILAYAH III PROVINSI SUMATERA UTARA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693974/PELAKSANAAN CIPTA KARYA WILAYAH III PROVINSI SUMATERA UTARA,"Sumatera Utara, Medan (Kota)",PROVINCE,3,44320000,May 2026,IT_HARDWARE,,,,,,,,
693986/DIREKTORAT SANITASI,693986/DIREKTORAT SANITASI — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693986/DIREKTORAT SANITASI,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,1,18000000,May 2026,CAMERA_VIDEO,,,,,,,,
693987/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN JAKARTA METROPOLITAN,693987/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN JAKARTA METROPOLITAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693987/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN JAKARTA METROPOLITAN,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,1,67500000,May 2026,IT_HARDWARE,,,,,,,,
693999/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN BALI,693999/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN BALI — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,693999/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN BALI,"Bali, Denpasar (Kota)",NATIONAL,1,7390000,May 2026,IT_HARDWARE,,,,,,,,
694003/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN ACEH,694003/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN ACEH — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694003/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN ACEH,"Aceh, Aceh Besar (Kab.)",NATIONAL,2,84254000,May 2026,CAMERA_VIDEO; LAPTOP,,,,,,,,
694016/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN KALIMANTAN TIMUR,694016/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN KALIMANTAN TIMUR — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694016/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN KALIMANTAN TIMUR,"Kalimantan Timur, Samarinda (Kota)",NATIONAL,1,237000000,June 2026,LAPTOP,,,,,,,,
694022/SEKRETARIAT DIREKTORAT JENDERAL CIPTA KARYA,694022/SEKRETARIAT DIREKTORAT JENDERAL CIPTA KARYA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694022/SEKRETARIAT DIREKTORAT JENDERAL CIPTA KARYA,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,1,1000,June 2026,AUDIO; CAMERA_VIDEO,,,,,,,,
694124 / OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR KALIMANTAN III,694124 / OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR KALIMANTAN III — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694124 / OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR KALIMANTAN III,"Kalimantan Selatan, Barito Kuala (Kab.)",NATIONAL,2,21225000,May 2026,LAPTOP; PRINTER,,,,,,,,
694148 / OPERASI DAN PEMELIHARAAN SDA SUMATERA IV,694148 / OPERASI DAN PEMELIHARAAN SDA SUMATERA IV — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694148 / OPERASI DAN PEMELIHARAAN SDA SUMATERA IV,"Kepulauan Riau, Bintan (Kab.)",NATIONAL,1,4954604000,May 2026,STORAGE,,,,,,,,
694277 / BALAI BESAR WILAYAH SUNGAI MESUJI SEKAMPUNG,694277 / BALAI BESAR WILAYAH SUNGAI MESUJI SEKAMPUNG — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694277 / BALAI BESAR WILAYAH SUNGAI MESUJI SEKAMPUNG,"Lampung, Bandar Lampung (Kota)",NATIONAL,1,51000000,May 2026,LAPTOP,,,,,,,,
694278 / BALAI BESAR WILAYAH SUNGAI CIDANAU CIUJUNG CIDURIAN,694278 / BALAI BESAR WILAYAH SUNGAI CIDANAU CIUJUNG CIDURIAN — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694278 / BALAI BESAR WILAYAH SUNGAI CIDANAU CIUJUNG CIDURIAN,"Banten, Serang (Kota)",NATIONAL,1,22300000,May 2026,LAPTOP,,,,,,,,
694285/ BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,694285/ BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694285/ BALAI BESAR WILAYAH SUNGAI BENGAWAN SOLO,"Jawa Tengah, Jakarta Selatan (Kota)",NATIONAL,2,19850000,May 2026,AUDIO; CAMERA_VIDEO; CCTV; UPS,,,,,,,,
694289 / BALAI WILAYAH SUNGAI BALI PENIDA,694289 / BALAI WILAYAH SUNGAI BALI PENIDA — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694289 / BALAI WILAYAH SUNGAI BALI PENIDA,"Bali, Jakarta Selatan (Kota)",NATIONAL,3,62000000,June 2026; May 2026,LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
694369/DIREKTORAT KESELAMATAN DAN KEBERLANJUTAN KONSTRUKSI,694369/DIREKTORAT KESELAMATAN DAN KEBERLANJUTAN KONSTRUKSI — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694369/DIREKTORAT KESELAMATAN DAN KEBERLANJUTAN KONSTRUKSI,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,1,40584000,May 2026,LAPTOP,,,,,,,,
694379/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SUMATERA BARAT,694379/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SUMATERA BARAT — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694379/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH SUMATERA BARAT,"Sumatera Barat, Padang (Kota)",NATIONAL,1,25839000,May 2026,CAMERA_VIDEO,,,,,,,,
694380/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH RIAU,694380/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH RIAU — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694380/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH RIAU,"Riau, Pekanbaru (Kota)",NATIONAL,1,45628000,May 2026,IT_HARDWARE,,,,,,,,
694383/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BANGKA BELITUNG,694383/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BANGKA BELITUNG — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694383/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH BANGKA BELITUNG,"Kep. Bangka Belitung, Pangkal Pinang (Kota)",NATIONAL,1,17677000,June 2026,LAPTOP,,,,,,,,
694385/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH LAMPUNG,694385/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH LAMPUNG — Kementerian Pekerjaan Umum,Kementerian Pekerjaan Umum,694385/BALAI PELAKSANA PEMILIHAN JASA KONSTRUKSI WILAYAH LAMPUNG,"Lampung, Bandar Lampung (Kota)",NATIONAL,2,30440000,May 2026,LAPTOP; SCANNER,,,,,,,,
